Pop2023,Pop2022,City,Country,Continent,growthRate,rank,Year
2660072,2605402,Accra,Ghana,Africa,0.021,190,2023
2657088,2631690,Vancouver,Canada,North America,0.0097,191,2023
2637733,2552813,Brazzaville,Republic of the Congo,Africa,0.0333,192,2023
2626368,2575626,Toluca de Lerdo,Mexico,North America,0.0197,193,2023
2610483,2497463,Mogadishu,Somalia,Africa,0.0453,194,2023
2608425,2652124,Chicago,United States,North America,-0.0165,195,2023
2603243,2573758,Tashkent,Uzbekistan,Asia,0.0115,196,2023
2602793,2534195,Luoyang,China,Asia,0.0271,197,2023
2584771,2502761,Damascus,Syria,Asia,0.0328,198,2023
2579762,2529210,Patna,India,Asia,0.02,199,2023
2564502,2505183,Bhopal,India,Asia,0.0237,200,2023
2514077,2456106,Tangerang,Indonesia,Asia,0.0236,201,2023
2504505,2472222,Brisbane,Australia,Oceania,0.0131,202,2023
2492230,2423725,Nantong,China,Asia,0.0283,203,2023
2475446,2439404,Tunis,Tunisia,Africa,0.0148,204,2023
2439564,2442512,San Juan,Puerto Rico,North America,-0.0012,205,2023
2439054,2402041,Medan,Indonesia,Asia,0.0154,206,2023
2432304,2401108,Baku,Azerbaijan,Asia,0.013,207,2023
2421354,2433155,Beirut,Lebanon,Asia,-0.0049,208,2023
2415416,2352547,Gujranwala,Pakistan,Asia,0.0267,209,2023
2411785,2342514,Peshawar,Pakistan,Asia,0.0296,210,2023
2409409,2385490,Belem,Brazil,South America,0.01,211,2023
2380636,2312208,Hohhot,China,Asia,0.0296,212,2023
2377325,2327455,Rawalpindi,Pakistan,Asia,0.0214,213,2023
2375636,2340784,Manaus,Brazil,South America,0.0149,214,2023
2367626,2332718,Maracaibo,Venezuela,South America,0.015,215,2023
2367554,2313971,Agra,India,Asia,0.0232,216,2023
2349400,2324690,Barranquilla,Colombia,South America,0.0106,217,2023
2346137,2286474,Kannur,India,Asia,0.0261,218,2023
2343452,2286224,Liuzhou,China,Asia,0.025,219,2023
2342302,2339991,Sendai,Japan,Asia,0.001,220,2023
2334878,2287174,Baotou,China,Asia,0.0209,221,2023
2330928,2277870,Visakhapatnam,India,Asia,0.0233,222,2023
2324084,2277153,Vadodara,India,Asia,0.0206,223,2023
2318850,2296368,Taoyuan,Taiwan,Asia,0.0098,224,2023
2287166,2240503,Xuzhou,China,Asia,0.0208,225,2023
2281198,2211444,Phnom Penh,Cambodia,Asia,0.0315,226,2023
2264876,2276533,Houston,United States,North America,-0.0051,227,2023
2259787,2221008,Tijuana,Mexico,North America,0.0175,228,2023
2258396,2219343,Esfahan,Iran,Asia,0.0176,229,2023
2237369,2180269,Nashik,India,Asia,0.0262,230,2023
2232240,2209584,Amman,Jordan,Asia,0.0103,231,2023
2229765,2167516,Vijayawada,India,Asia,0.0287,232,2023
2203025,2098210,Aleppo,Syria,Asia,0.05,233,2023
2180997,2184528,Daegu,South Korea,Asia,-0.0016,234,2023
2179384,2180348,Naples,Italy,Europe,-0.0004,235,2023
2176022,2093166,Putian,China,Asia,0.0396,236,2023
2170513,2141511,Grande Vitoria,Brazil,South America,0.0135,237,2023
2154600,2105987,Multan,Pakistan,Asia,0.0231,238,2023
